AIAL;RMGL;Send;1
AIAR;ADAR;Send;1
AIAR;ADFR;GapJunction;1
AIAR;ADLR;Receive;2
AIAR;ADLR;Receive (Join);8
AIAR;ADLR;Send;2
AIAR;AIAL;GapJunction;1
AIAR;AIBR;Send;6
AIAR;AIBR;Send;8
AIAR;AIMR;Receive (Join);5
AIAR;AIZR;Receive (Join);1
AIAR;AIZR;Send;1
AIAR;ASER;Receive;1
AIAR;ASER;Receive (Join);2
AIAR;ASER;Send;1
AIAR;ASGR;Receive;8
AIAR;ASGR;Receive (Join);2
AIAR;ASGR;Send;1
AIAR;ASGR;Send;1
AIAR;ASHR;Receive;6
AIAR;ASHR;Receive (Join);4
AIAR;ASIR;Receive;1
AIAR;ASIR;Receive (Join);2
AIAR;ASIR;GapJunction;2
AIAR;ASKR;Receive;8
AIAR;ASKR;Receive (Join);3
AIAR;AWAR;Send;1
AIAR;AWAR;GapJunction;1
AIAR;AWCL;Receive;3
AIAR;AWCL;Receive (Join);1
AIAR;AWCL;Send;1
AIAR;AWCR;Receive;1
AIAR;AWCR;Receive (Join);1
AIAR;AWCR;Send;1
AIAR;AWCR;Send;2
AIAR;PVQR;Receive;3
AIAR;PVQR;Receive (Join);4
AIAR;RIFR;Send;2
AIBL;ADAL;Receive;1
AIBL;ADAR;Receive (Join);1
AIBL;ADLL;Receive;2
AIBL;ADLL;Receive (Join);5
AIBL;AFDL;GapJunction;1
AIBL;AIAL;Receive;3
AIBL;AIAL;Receive (Join);7
AIBL;AINR;Receive (Join);2
AIBL;AIYL;Send;1
AIBL;AIZL;Receive;2
AIBL;AIZL;Receive (Join);2
AIBL;AIZR;Receive;1
AIBL;AIZR;Receive (Join);7
AIBL;ASEL;Receive;1
AIBL;ASEL;Receive (Join);6
AIBL;ASER;Receive (Join);2
AIBL;ASER;Send;1
AIBL;ASGL;Receive (Join);3
AIBL;ASHL;Receive;2
AIBL;ASHL;Receive (Join);3
AIBL;ASIL;Receive;1
AIBL;ASKL;Receive (Join);2
AIBL;AVAL;Send;2
AIBL;AVBL;Send;1
AIBL;AVBL;Send;4
AIBL;AWCL;Receive;1
AIBL;AWCL;Receive (Join);1
AIBL;BAGL;Receive (Join);1
AIBL;DVC;Receive (Join);1
AIBL;DVC;GapJunction;1
AIBL;FLPL;Receive;1
AIBL;FLPL;Receive (Join);1
AIBL;FLPL;Send;1
AIBL;HSNR;Receive (Join);1
AIBL;PVT;Receive (Join);2
AIBL;PVT;GapJunction;1
AIBL;RIBR;Receive;1
AIBL;RIBR;Receive (Join);1
AIBL;RIBR;Send;1
AIBL;RIBR;Send;3
AIBL;RIFL;Send;1
AIBL;RIGR;Send;1
AIBL;RIGR;GapJunction;3
AIBL;RIML;Send;2
AIBL;RIMR;Receive (Join);4
AIBL;RIMR;Send;1
AIBL;RIMR;Send;12
AIBL;RIMR;GapJunction;1
AIBL;RIVL;GapJunction;1
AIBL;SAADL;Receive (Join);1
AIBL;SAADL;Send;2
AIBL;SAADR;Send;2
AIBL;SAAVL;Receive (Join);1
AIBL;SDQR;Receive (Join);2
AIBL;SMDDR;Send;4
AIBR;ADAL;Receive (Join);2
AIBR;ADAR;Receive (Join);1
AIBR;ADLL;Receive (Join);1
AIBR;ADLR;Receive (Join);10
AIBR;AFDR;GapJunction;1
AIBR;AIAR;Receive;6
AIBR;AIAR;Receive (Join);8
AIBR;AIZL;Receive;2
AIBR;AIZL;Receive (Join);6
AIBR;AIZR;Receive (Join);1
AIBR;ASEL;Receive;2
AIBR;ASEL;Receive (Join);2
AIBR;ASER;Receive;1
AIBR;ASER;Receive (Join);9
AIBR;ASGR;Receive (Join);2
AIBR;ASHR;Receive;1
AIBR;ASHR;Receive (Join);2
AIBR;ASIR;Receive (Join);1
AIBR;AVAR;Send;1
AIBR;AVBR;Send;3
AIBR;AVEL;Send;1
AIBR;AWBL;Receive (Join);1
AIBR;AWCL;Receive (Join);1
AIBR;AWCR;Receive (Join);4
AIBR;DB1;GapJunction;1
AIBR;DVC;Receive (Join);3
AIBR;DVC;GapJunction;2
AIBR;FLPL;Receive (Join);2
AIBR;FLPR;Receive (Join);1
AIBR;HSNR;Receive (Join);1
AIBR;PVT;Receive (Join);4
AIBR;PVT;GapJunction;1
AIBR;RIAL;Send;1
AIBR;RIBL;Receive (Join);2
AIBR;RIBL;Send;4
AIBR;RIGL;GapJunction;3
AIBR;RIML;Send;4
AIBR;RIML;Send;12
AIBR;RIML;GapJunction;1
AIBR;RIMR;Send;1
AIBR;RIS;GapJunction;1
AIBR;RIVR;GapJunction;1
AIBR;RMGL;Receive;1
AIBR;SAADL;Send;1
AIBR;SAADR;Receive;1
AIBR;SDQL;Receive (Join);1
AIBR;SMDDL;Send;1
AIBR;SMDDL;Send;2
AIBR;SMDVL;Send;1
AIBR;VB1;Receive (Join);1
AIBR;VB1;Send;3
AIML;AIAL;Receive (Join);2
AIML;AIAL;Send;1
AIML;AIAL;Send;4
AIML;ALML;Send;1
AIML;ASGL;Send;2
AIML;ASKL;Receive (Join);2
AIML;ASKL;Send;2
AIML;AVBR;Send;2
AIML;AVDL;Send;1
AIML;AVDR;Send;1
AIML;AVER;Send;1
AIML;AVFL;Send;1
AIML;AVFL;Send;3
AIML;AVFR;Send;1
AIML;AVHL;Send;2
AIML;AVHR;Send;1
AIML;AVJL;Send;1
AIML;PVQL;Send;1
AIML;RIFL;Send;1
AIML;SIBDR;GapJunction;1
AIML;SMBVL;Send;1
AIMR;AIAR;Send;5
AIMR;ASGR;Send;2
AIMR;ASJR;Send;2
AIMR;ASKR;Receive (Join);1
AIMR;ASKR;Send;3
AIMR;AVDR;Send;1
AIMR;AVFL;Send;1
AIMR;AVFL;Send;1
AIMR;AVFR;Send;1
AIMR;AVFR;Send;1
AIMR;HSNL;Send;1
AIMR;HSNR;Send;2
AIMR;OLQDR;Send;1
AIMR;PVNR;Send;1
AIMR;RIFR;Send;1
AIMR;RMGR;Receive (Join);1
AIMR;RMGR;Send;1
AIMR;RMGR;Send;1
AINL;ADEL;GapJunction;1
AINL;AFDR;Send;2
AINL;AFDR;Send;3
AINL;AINR;GapJunction;2
AINL;ASEL;Send;1
AINL;ASEL;Send;2
AINL;ASGR;Send;1
AINL;ASGR;GapJunction;1
AINL;AUAR;Send;1
AINL;AUAR;GapJunction;1
AINL;BAGL;Send;3
AINL;RIBL;Send;1
AINL;RIBR;Send;2
AINR;AFDL;Receive;1
AINR;AFDL;Send;3
AINR;AFDL;Send;1
AINR;AFDR;Send;1
AINR;AIAL;Send;2
AINR;AIBL;Send;2
AINR;AINL;GapJunction;2
AINR;ASEL;Send;1
AINR;ASER;Send;1
AINR;ASER;Send;1
AINR;ASGL;Receive (Join);1
AINR;ASGL;GapJunction;1
AINR;AUAL;GapJunction;1
AINR;AUAR;Send;1
AINR;BAGR;Send;3
AINR;RIBL;Send;2
AINR;RID;Send;1
AIYL;AFDL;Receive;7
AIYL;AIBL;Receive (Join);1
AIYL;AIYR;GapJunction;1
AIYL;AIZL;Send;3
AIYL;AIZL;Send;10
AIYL;ASEL;Receive;8
AIYL;ASEL;Receive (Join);5
AIYL;ASER;Receive;2
AIYL;ASER;Receive (Join);2
AIYL;ASIL;Receive (Join);2
AIYL;AWAL;Receive (Join);1
AIYL;AWAL;Send;3
AIYL;AWCL;Receive;7
AIYL;AWCL;Receive (Join);3
AIYL;AWCL;Send;1
AIYL;AWCR;Receive;1
AIYL;AWCR;Receive (Join);3
AIYL;AWCR;Send;1
AIYL;BAGR;Receive (Join);1
AIYL;HSNR;Send;1
AIYL;RIAL;Send;1
AIYL;RIAL;Send;6
AIYL;RIBL;Send;4
AIYL;RIML;GapJunction;1
AIYR;ADFR;Receive (Join);1
AIYR;ADFR;Send;1
AIYR;AFDR;Receive;12
